Date : 2026-07-04 01:32:19
Directory : c:\Users\irina\Desktop\EventMate
Total : 94 files,  2758 codes, 81 comments, 929 blanks, all 3768 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\irina\Desktop\EventMate\events\templates\events\edit_event.html                  | HTML     |         19 |          0 |         12 |         31 |
| c:\Users\irina\Desktop\EventMate\events\templates\events\event_details.html               | HTML     |        162 |          0 |         77 |        239 |
| c:\Users\irina\Desktop\EventMate\events\templates\events\events_list.html                 | HTML     |         46 |          0 |         20 |         66 |
| c:\Users\irina\Desktop\EventMate\events\templates\events\my_events.html                   | HTML     |         27 |          0 |         14 |         41 |
| c:\Users\irina\Desktop\EventMate\events\tests.py                                          | Python   |         59 |          0 |         21 |         80 |
| c:\Users\irina\Desktop\EventMate\events\urls.py                                           | Python   |         10 |          0 |          1 |         11 |
| c:\Users\irina\Desktop\EventMate\events\views.py                                          | Python   |        153 |          0 |         52 |        205 |
| c:\Users\irina\Desktop\EventMate\friends\__init__.py                                      | Python   |          0 |          0 |          1 |          1 |
| c:\Users\irina\Desktop\EventMate\friends\admin.py                                         | Python   |          1 |          1 |          2 |          4 |
| c:\Users\irina\Desktop\EventMate\friends\apps.py                                          | Python   |          3 |          0 |          3 |          6 |
| c:\Users\irina\Desktop\EventMate\friends\migrations\0001_initial.py                       | Python   |         56 |          1 |          7 |         64 |
| c:\Users\irina\Desktop\EventMate\friends\migrations\__init__.py                           | Python   |          0 |          0 |          1 |          1 |
| c:\Users\irina\Desktop\EventMate\friends\models.py                                        | Python   |         28 |          0 |          8 |         36 |
| c:\Users\irina\Desktop\EventMate\friends\templates\friends\friends.html                   | HTML     |         43 |          0 |         21 |         64 |
| c:\Users\irina\Desktop\EventMate\friends\tests.py                                         | Python   |         58 |          0 |         21 |         79 |
| c:\Users\irina\Desktop\EventMate\friends\urls.py                                          | Python   |          8 |          0 |          1 |          9 |
| c:\Users\irina\Desktop\EventMate\friends\views.py                                         | Python   |         58 |          0 |         16 |         74 |
| c:\Users\irina\Desktop\EventMate\manage.py                                                | Python   |         15 |          3 |          5 |         23 |
| c:\Users\irina\Desktop\EventMate\notifications\__init__.py                                | Python   |          0 |          0 |          1 |          1 |
| c:\Users\irina\Desktop\EventMate\notifications\admin.py                                   | Python   |          1 |          1 |          2 |          4 |
| c:\Users\irina\Desktop\EventMate\notifications\apps.py                                    | Python   |          3 |          0 |          3 |          6 |
| c:\Users\irina\Desktop\EventMate\notifications\migrations\0001_initial.py                 | Python   |         35 |          1 |          7 |         43 |
| c:\Users\irina\Desktop\EventMate\notifications\migrations\__init__.py                     | Python   |          0 |          0 |          1 |          1 |
| c:\Users\irina\Desktop\EventMate\notifications\models.py                                  | Python   |         13 |          0 |          6 |         19 |
| c:\Users\irina\Desktop\EventMate\notifications\templates\notifications\notifications.html | HTML     |         23 |          0 |         16 |         39 |
| c:\Users\irina\Desktop\EventMate\notifications\tests.py                                   | Python   |         15 |          0 |          7 |         22 |
| c:\Users\irina\Desktop\EventMate\notifications\urls.py                                    | Python   |          5 |          0 |          1 |          6 |
| c:\Users\irina\Desktop\EventMate\notifications\views.py                                   | Python   |         11 |          0 |          2 |         13 |
| c:\Users\irina\Desktop\EventMate\reviews\__init__.py                                      | Python   |          0 |          0 |          1 |          1 |
| c:\Users\irina\Desktop\EventMate\reviews\admin.py                                         | Python   |          1 |          1 |          2 |          4 |
| c:\Users\irina\Desktop\EventMate\reviews\apps.py                                          | Python   |          3 |          0 |          3 |          6 |
| c:\Users\irina\Desktop\EventMate\reviews\forms.py                                         | Python   |         19 |          0 |          4 |         23 |
| c:\Users\irina\Desktop\EventMate\reviews\migrations\0001_initial.py                       | Python   |         55 |          1 |          7 |         63 |
| c:\Users\irina\Desktop\EventMate\reviews\migrations\__init__.py                           | Python   |          0 |          0 |          1 |          1 |
| c:\Users\irina\Desktop\EventMate\reviews\models.py                                        | Python   |         26 |          0 |         10 |         36 |
| c:\Users\irina\Desktop\EventMate\reviews\templates\reviews\leave_review.html              | HTML     |         19 |          0 |         12 |         31 |
| c:\Users\irina\Desktop\EventMate\reviews\tests.py                                         | Python   |         78 |          0 |         18 |         96 |
| c:\Users\irina\Desktop\EventMate\reviews\urls.py                                          | Python   |          5 |          0 |          1 |          6 |
| c:\Users\irina\Desktop\EventMate\reviews\views.py                                         | Python   |         44 |          0 |         14 |         58 |
| Total                                                                                     |          |      2,758 |         81 |        929 |      3,768 |
+-------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
